Edge TPU Compiler version 2.0.267685300
Input: mnist.tflite
Output: mnist_edgetpu.tflite

Operator                       Count      Status

RESIZE_BILINEAR                3          Mapped to Edge TPU
RESIZE_BILINEAR                1          Operation is otherwise supported, but not mapped due to some unspecified limitation
LOGISTIC                       1          More than one subgraph is not supported
MAX_POOL_2D                    4          Mapped to Edge TPU
QUANTIZE                       5          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  3          Mapped to Edge TPU
CONCATENATION                  1          More than one subgraph is not supported
CONV_2D                        19         Mapped to Edge TPU
CONV_2D                        5          More than one subgraph is not supported
